Date;Substrate;Plant;Stem;Leaf;Length;Width
03/19/2019;Sphagnum;128;L;Leaf 1;33.6;25
;;;;Leaf 2;37;30.1
;;;;Leaf 3;41;31.2
;;;;Leaf 4;35.4;24.9
;;;;Leaf 5;32.9;22.5
;;;;Leaf 6;24.2;17.2
;;;;Leaf 7;0;0
;;;;Leaf 8;0;0
;;;;Leaf 9;0;0
;;;;Leaf 10;0;0
;;;;Leaf 11;0;0
;;;;Leaf 12;0;0
;;;;Leaf 13;0;0
;;;;Leaf 14;0;0
;;;;Leaf 15;0;0
;;;;Leaf 16;0;0
;;;;Leaf 17;0;0
;;;;Leaf 18;0;0
;;;R;Leaf 1;33.2;27.4
;;;;Leaf 2;32.6;24.3
;;;;Leaf 3;33.9;23.7
;;;;Leaf 4;34.8;23.5
;;;;Leaf 5;29.7;20.3
;;;;Leaf 6;23.5;17
;;;;Leaf 7;0;0
;;;;Leaf 8;0;0
;;;;Leaf 9;0;0
;;;;Leaf 10;0;0
;;;;Leaf 11;0;0
;;;;Leaf 12;0;0
;;;;Leaf 13;0;0
;;;;Leaf 14;0;0
;;;;Leaf 15;0;0
;;;;Leaf 16;0;0
;;;;Leaf 17;0;0
;;;;Leaf 18;0;0
;;140;L;Leaf 1;30;27.4
;;;;Leaf 2;26.7;24.3
;;;;Leaf 3;37.1;23.7
;;;;Leaf 4;32.6;23.5
;;;;Leaf 5;24;20.3
;;;;Leaf 6;0;17
;;;;Leaf 7;0;0
;;;;Leaf 8;0;0
;;;;Leaf 9;0;0
;;;;Leaf 10;0;0
;;;;Leaf 11;0;0
;;;;Leaf 12;0;0
;;;;Leaf 13;0;0
;;;;Leaf 14;0;0
;;;;Leaf 15;0;0
;;;;Leaf 16;0;0
;;;;Leaf 17;0;0
;;;;Leaf 18;0;0
;;;R;Leaf 1;34.3;28.1
;;;;Leaf 2;38.4;32.3
;;;;Leaf 3;34;28
;;;;Leaf 4;30.4;21.3
;;;;Leaf 5;22.5;15
;;;;Leaf 6;0;0
;;;;Leaf 7;0;0
;;;;Leaf 8;0;0
;;;;Leaf 9;0;0
;;;;Leaf 10;0;0
;;;;Leaf 11;0;0
;;;;Leaf 12;0;0
;;;;Leaf 13;0;0
;;;;Leaf 14;0;0
;;;;Leaf 15;0;0
;;;;Leaf 16;0;0
;;;;Leaf 17;0;0
;;;;Leaf 18;0;0
;;150;L;Leaf 1;31.5;25
;;;;Leaf 2;35.3;29.2
;;;;Leaf 3;30.3;25
;;;;Leaf 4;30.4;21
;;;;Leaf 5;21.1;17.2
;;;;Leaf 6;0;0
;;;;Leaf 7;0;0
;;;;Leaf 8;0;0
;;;;Leaf 9;0;0
;;;;Leaf 10;0;0
;;;;Leaf 11;0;0
;;;;Leaf 12;0;0
;;;;Leaf 13;0;0
;;;;Leaf 14;0;0
;;;;Leaf 15;0;0
;;;;Leaf 16;0;0
;;;;Leaf 17;0;0
;;;;Leaf 18;0;0
;;;R;Leaf 1;32.6;23.2
;;;;Leaf 2;34.9;26.8
;;;;Leaf 3;33.1;22.5
;;;;Leaf 4;25.3;19
;;;;Leaf 5;21;14.4
;;;;Leaf 6;0;0
