"HS_ID","ID","PF","LOG10K"
1,"27","2.957","-3.25"
1,"27","3.732","-4.68"
1,"27","2.882","-3.12"
1,"27","2.84","-3.06"
1,"27","2.793","-2.99"
1,"27","2.747","-2.93"
1,"27","2.696","-2.85"
1,"27","2.636","-2.74"
1,"27","2.566","-2.57"
1,"27","2.489","-2.41"
1,"27","2.412","-2.27"
1,"27","2.34","-2.07"
1,"27","2.274","-1.92"
1,"27","2.217","-1.77"
1,"27","2.162","-1.59"
1,"27","2.109","-1.41"
1,"27","2.054","-1.16"
1,"27","2.921","-3.18"
1,"2W","2.584","-2.57"
1,"2W","2.609","-2.61"
1,"2W","2.633","-2.66"
1,"2W","2.655","-2.7"
1,"2W","2.677","-2.74"
1,"2W","2.698","-2.78"
1,"2W","3.543","-4.53"
1,"2W","2.557","-2.52"
1,"2W","2.529","-2.47"
1,"2W","2.502","-2.39"
1,"2W","2.474","-2.28"
1,"2W","2.442","-2.18"
1,"2W","2.409","-2.09"
1,"2W","2.374","-2"
1,"2W","2.337","-1.9"
1,"2W","2.299","-1.8"
1,"2W","2.259","-1.7"
1,"2W","2.218","-1.58"
1,"2W","2.175","-1.46"
1,"2W","2.133","-1.33"
1,"2W","2.091","-1.19"
1,"2W","2.051","-1.04"
1,"2W","2.012","-.9"
1,"2W","1.974","-.75"
1,"2W","1.901","-.45"
1,"2W","1.937","-.6"
1,"71","2.359","-2.18"
1,"71","2.41","-2.27"
1,"71","2.457","-2.35"
1,"71","2.5","-2.42"
1,"71","2.54","-2.49"
1,"71","2.578","-2.55"
1,"71","2.613","-2.6"
1,"71","2.643","-2.66"
1,"71","2.67","-2.71"
1,"71","2.698","-2.76"
1,"71","2.725","-2.81"
1,"71","3.595","-4.43"
1,"71","1.64","-.52"
1,"71","1.661","-.56"
1,"71","1.683","-.6"
1,"71","1.706","-.65"
1,"71","1.73","-.69"
1,"71","1.756","-.74"
1,"71","1.783","-.8"
1,"71","1.812","-.86"
1,"71","1.842","-.93"
1,"71","1.874","-1"
1,"71","1.908","-1.09"
1,"71","1.943","-1.18"
1,"71","1.98","-1.28"
1,"71","2.019","-1.38"
1,"71","2.06","-1.48"
1,"71","2.103","-1.59"
1,"71","2.15","-1.71"
1,"71","2.201","-1.84"
1,"71","2.253","-1.96"
1,"71","2.307","-2.08"
2,"31","1.768","-.76"
2,"31","3.259","-4.76"
2,"31","1.815","-1.02"
2,"31","1.835","-1.12"
2,"31","1.854","-1.21"
2,"31","1.872","-1.31"
2,"31","1.888","-1.4"
2,"31","1.903","-1.5"
2,"31","1.918","-1.59"
2,"31","1.934","-1.68"
2,"31","1.949","-1.76"
2,"31","1.964","-1.84"
2,"31","1.978","-1.91"
2,"31","1.993","-1.98"
2,"31","2.008","-2.04"
2,"31","2.023","-2.09"
2,"31","2.038","-2.13"
2,"31","2.051","-2.16"
2,"31","2.063","-2.19"
2,"31","2.075","-2.21"
2,"31","2.088","-2.23"
2,"31","2.103","-2.3"
2,"31","2.119","-2.38"
2,"31","2.138","-2.45"
2,"31","2.161","-2.52"
2,"31","2.187","-2.58"
2,"31","2.212","-2.64"
2,"31","2.233","-2.69"
2,"31","2.254","-2.74"
2,"31","2.271","-2.77"
2,"31","2.286","-2.8"
2,"31","2.305","-2.84"
2,"31","2.324","-2.88"
2,"31","2.346","-2.92"
2,"31","2.37","-3.02"
2,"31","2.397","-3.1"
2,"31","2.422","-3.16"
2,"31","2.446","-3.22"
2,"31","2.469","-3.26"
2,"31","2.488","-3.29"
2,"31","2.506","-3.3"
2,"31","2.534","-3.33"
2,"31","2.567","-3.44"
2,"31","2.592","-3.59"
2,"31","2.615","-3.7"
2,"31","2.638","-3.78"
2,"31","2.661","-3.81"
2,"31","2.682","-3.81"
2,"31","2.7","-3.76"
2,"31","2.723","-3.74"
2,"31","2.755","-3.82"
2,"31","1.794","-.9"
2,"64","1.817","-.73"
2,"64","3.247","-4.86"
2,"64","1.887","-1.13"
2,"64","1.913","-1.28"
2,"64","1.936","-1.43"
2,"64","1.956","-1.56"
2,"64","1.975","-1.67"
2,"64","1.996","-1.78"
2,"64","2.019","-1.9"
2,"64","2.041","-2.02"
2,"64","2.062","-2.12"
2,"64","2.083","-2.2"
2,"64","2.104","-2.28"
2,"64","2.122","-2.35"
2,"64","2.138","-2.39"
2,"64","2.156","-2.43"
2,"64","2.178","-2.5"
2,"64","2.197","-2.5"
2,"64","2.219","-2.61"
2,"64","2.251","-2.75"
2,"64","2.28","-2.87"
2,"64","2.305","-2.96"
2,"64","2.328","-3.03"
2,"64","2.346","-3.01"
2,"64","2.363","-2.94"
2,"64","2.388","-3"
2,"64","2.426","-3.15"
2,"64","2.468","-3.32"
2,"64","2.501","-3.45"
2,"64","2.531","-3.54"
2,"64","2.56","-3.56"
2,"64","2.587","-3.65"
2,"64","2.609","-3.65"
2,"64","2.634","-3.62"
2,"64","2.669","-3.65"
2,"64","1.855","-.95"
2,"9","2.633","-3.53"
2,"9","3.524","-4.84"
2,"9","1.815","-1.27"
2,"9","1.855","-1.44"
2,"9","1.895","-1.6"
2,"9","1.933","-1.73"
2,"9","1.97","-1.85"
2,"9","2.006","-1.95"
2,"9","2.039","-2.04"
2,"9","2.07","-2.13"
2,"9","2.102","-2.21"
2,"9","2.133","-2.29"
2,"9","2.163","-2.35"
2,"9","2.193","-2.42"
2,"9","2.22","-2.48"
2,"9","2.245","-2.54"
2,"9","2.271","-2.6"
2,"9","2.297","-2.66"
2,"9","2.324","-2.73"
2,"9","2.35","-2.8"
2,"9","2.375","-2.87"
2,"9","2.401","-2.94"
2,"9","2.427","-3.01"
2,"9","2.453","-3.08"
2,"9","2.479","-3.15"
2,"9","2.505","-3.22"
2,"9","2.531","-3.29"
2,"9","2.558","-3.36"
2,"9","2.585","-3.43"
2,"9","2.609","-3.48"
3,"27","1.992","-1.32"
3,"27","3.382","-4.78"
3,"27","2.09","-1.81"
3,"27","2.141","-2"
3,"27","2.193","-2.16"
3,"27","2.243","-2.29"
3,"27","2.29","-2.41"
3,"27","2.335","-2.52"
3,"27","2.378","-2.62"
3,"27","2.422","-2.72"
3,"27","2.464","-2.83"
3,"27","2.505","-2.93"
3,"27","2.544","-3.03"
3,"27","2.583","-3.13"
3,"27","2.623","-3.22"
3,"27","2.662","-3.31"
3,"27","2.7","-3.39"
3,"27","2.738","-3.48"
3,"27","2.777","-3.57"
3,"27","2.816","-3.66"
3,"27","2.856","-3.74"
3,"27","2.897","-3.83"
3,"27","2.937","-3.93"
3,"27","2.98","-4.05"
3,"27","3.025","-4.16"
3,"27","2.04","-1.59"
3,"50","1.898","-.75"
3,"50","1.946","-1"
3,"50","1.983","-1.17"
3,"50","2.015","-1.31"
3,"50","2.044","-1.42"
3,"50","2.07","-1.53"
3,"50","2.094","-1.63"
3,"50","2.118","-1.72"
3,"50","2.14","-1.81"
3,"50","2.162","-1.89"
3,"50","2.183","-1.97"
3,"50","2.203","-2.04"
3,"50","2.221","-2.12"
3,"50","2.237","-2.23"
3,"50","2.255","-2.32"
3,"50","2.275","-2.37"
3,"50","2.296","-2.38"
3,"50","2.318","-2.47"
3,"50","2.34","-2.64"
3,"50","2.361","-2.7"
3,"50","2.383","-2.75"
3,"50","2.408","-2.8"
3,"50","2.436","-2.86"
3,"50","2.463","-2.91"
3,"50","2.487","-2.96"
3,"50","2.508","-3"
3,"50","2.529","-3.05"
3,"50","2.55","-3.09"
3,"50","2.57","-3.13"
3,"50","2.588","-3.17"
3,"50","2.606","-3.2"
3,"50","2.623","-3.24"
3,"50","2.638","-3.27"
3,"50","2.653","-3.3"
3,"50","2.668","-3.33"
3,"50","2.682","-3.35"
3,"50","2.698","-3.38"
3,"50","3.428","-4.65"
3,"6","1.811","-.52"
3,"6","3.289","-4.7"
3,"6","1.89","-.88"
3,"6","1.923","-1.02"
3,"6","1.952","-1.14"
3,"6","1.977","-1.25"
3,"6","1.999","-1.35"
3,"6","2.021","-1.44"
3,"6","2.041","-1.54"
3,"6","2.059","-1.64"
3,"6","2.076","-1.74"
3,"6","2.092","-1.85"
3,"6","2.108","-2"
3,"6","2.125","-2.09"
3,"6","2.144","-2.12"
3,"6","2.163","-2.2"
3,"6","2.184","-2.29"
3,"6","2.206","-2.41"
3,"6","2.229","-2.48"
3,"6","2.253","-2.56"
3,"6","2.275","-2.62"
3,"6","2.296","-2.68"
3,"6","2.317","-2.74"
3,"6","2.338","-2.79"
3,"6","2.359","-2.84"
3,"6","2.381","-2.89"
3,"6","2.402","-2.93"
3,"6","2.422","-2.96"
3,"6","2.44","-2.99"
3,"6","2.459","-3.02"
3,"6","2.479","-3.06"
3,"6","2.5","-3.12"
3,"6","2.522","-3.18"
3,"6","2.546","-3.25"
3,"6","2.571","-3.34"
3,"6","2.599","-3.42"
3,"6","2.628","-3.49"
3,"6","2.657","-3.55"
3,"6","2.683","-3.61"
3,"6","1.852","-.71"
4,"101","1.773","-.3"
4,"101","1.818","-.5"
4,"101","3.55","-4.31"
4,"101","2.811","-2.82"
4,"101","2.795","-2.8"
4,"101","2.78","-2.78"
4,"101","2.766","-2.76"
4,"101","2.75","-2.74"
4,"101","2.735","-2.66"
4,"101","2.718","-2.55"
4,"101","2.702","-2.53"
4,"101","2.685","-2.54"
4,"101","2.669","-2.51"
4,"101","2.653","-2.47"
4,"101","2.64","-2.4"
4,"101","2.624","-2.34"
4,"101","2.605","-2.3"
4,"101","2.584","-2.26"
4,"101","2.562","-2.21"
4,"101","2.539","-2.17"
4,"101","2.513","-2.13"
4,"101","2.485","-2.09"
4,"101","2.453","-2.04"
4,"101","2.418","-1.98"
4,"101","2.379","-1.92"
4,"101","2.335","-1.85"
4,"101","2.285","-1.76"
4,"101","1.868","-.71"
4,"101","1.922","-.92"
4,"101","1.98","-1.1"
4,"101","2.042","-1.27"
4,"101","2.107","-1.42"
4,"101","2.171","-1.55"
4,"101","2.231","-1.66"
4,"42","2.798","-2.78"
4,"42","3.678","-4.67"
4,"42","2.731","-2.62"
4,"42","2.699","-2.56"
4,"42","2.664","-2.51"
4,"42","2.626","-2.46"
4,"42","2.583","-2.37"
4,"42","2.537","-2.27"
4,"42","2.492","-2.16"
4,"42","2.448","-2.05"
4,"42","2.406","-1.96"
4,"42","2.362","-1.87"
4,"42","2.317","-1.78"
4,"42","2.27","-1.67"
4,"42","2.223","-1.55"
4,"42","2.176","-1.43"
4,"42","2.131","-1.3"
4,"42","2.089","-1.16"
4,"42","2.996","-3.22"
