"HS_ID","ID","WATER_CONTENT","LOG10K"
1,"27","27.35","-3.25"
1,"27","14.95","-4.68"
1,"27","28.91","-3.12"
1,"27","29.72","-3.06"
1,"27","30.54","-2.99"
1,"27","31.37","-2.93"
1,"27","32.21","-2.85"
1,"27","33.08","-2.74"
1,"27","34.03","-2.57"
1,"27","35.04","-2.41"
1,"27","36.04","-2.27"
1,"27","37.04","-2.07"
1,"27","38.01","-1.92"
1,"27","38.87","-1.77"
1,"27","39.7","-1.59"
1,"27","40.59","-1.41"
1,"27","41.6","-1.16"
1,"27","28.12","-3.18"
1,"2W","33.68","-2.57"
1,"2W","33.31","-2.61"
1,"2W","32.94","-2.66"
1,"2W","32.58","-2.7"
1,"2W","32.22","-2.74"
1,"2W","31.88","-2.78"
1,"2W","18.28","-4.53"
1,"2W","34.07","-2.52"
1,"2W","34.46","-2.47"
1,"2W","34.88","-2.39"
1,"2W","35.35","-2.28"
1,"2W","35.88","-2.18"
1,"2W","36.47","-2.09"
1,"2W","37.1","-2"
1,"2W","37.78","-1.9"
1,"2W","38.5","-1.8"
1,"2W","39.24","-1.7"
1,"2W","40.02","-1.58"
1,"2W","40.82","-1.46"
1,"2W","41.64","-1.33"
1,"2W","42.47","-1.19"
1,"2W","43.32","-1.04"
1,"2W","44.17","-.9"
1,"2W","45.03","-.75"
1,"2W","46.75","-.45"
1,"2W","45.89","-.6"
1,"71","38.94","-2.18"
1,"71","38.2","-2.27"
1,"71","37.48","-2.35"
1,"71","36.76","-2.42"
1,"71","36.06","-2.49"
1,"71","35.38","-2.55"
1,"71","34.71","-2.6"
1,"71","34.06","-2.66"
1,"71","33.44","-2.71"
1,"71","32.83","-2.76"
1,"71","32.26","-2.81"
1,"71","19.11","-4.43"
1,"71","53.88","-.52"
1,"71","53.14","-.56"
1,"71","52.4","-.6"
1,"71","51.66","-.65"
1,"71","50.92","-.69"
1,"71","50.18","-.74"
1,"71","49.44","-.8"
1,"71","48.69","-.86"
1,"71","47.95","-.93"
1,"71","47.2","-1"
1,"71","46.45","-1.09"
1,"71","45.7","-1.18"
1,"71","44.95","-1.28"
1,"71","44.2","-1.38"
1,"71","43.45","-1.48"
1,"71","42.69","-1.59"
1,"71","41.94","-1.71"
1,"71","41.18","-1.84"
1,"71","40.43","-1.96"
1,"71","39.68","-2.08"
2,"31","44.63","-.76"
2,"31","20.96","-4.76"
2,"31","43","-1.02"
2,"31","42.23","-1.12"
2,"31","41.5","-1.21"
2,"31","40.82","-1.31"
2,"31","40.18","-1.4"
2,"31","39.59","-1.5"
2,"31","39.05","-1.59"
2,"31","38.56","-1.68"
2,"31","38.09","-1.76"
2,"31","37.65","-1.84"
2,"31","37.24","-1.91"
2,"31","36.85","-1.98"
2,"31","36.47","-2.04"
2,"31","36.11","-2.09"
2,"31","35.74","-2.13"
2,"31","35.37","-2.16"
2,"31","34.99","-2.19"
2,"31","34.58","-2.21"
2,"31","34.15","-2.23"
2,"31","33.72","-2.3"
2,"31","33.33","-2.38"
2,"31","32.96","-2.45"
2,"31","32.59","-2.52"
2,"31","32.24","-2.58"
2,"31","31.89","-2.64"
2,"31","31.55","-2.69"
2,"31","31.2","-2.74"
2,"31","30.85","-2.77"
2,"31","30.5","-2.8"
2,"31","30.14","-2.84"
2,"31","29.78","-2.88"
2,"31","29.41","-2.92"
2,"31","29.06","-3.02"
2,"31","28.74","-3.1"
2,"31","28.43","-3.16"
2,"31","28.13","-3.22"
2,"31","27.83","-3.26"
2,"31","27.53","-3.29"
2,"31","27.2","-3.3"
2,"31","26.86","-3.33"
2,"31","26.52","-3.44"
2,"31","26.24","-3.59"
2,"31","26.01","-3.7"
2,"31","25.8","-3.78"
2,"31","25.61","-3.81"
2,"31","25.4","-3.81"
2,"31","25.16","-3.76"
2,"31","24.86","-3.74"
2,"31","24.55","-3.82"
2,"31","43.8","-.9"
2,"64","42.98","-.73"
2,"64","21.89","-4.86"
2,"64","40.76","-1.13"
2,"64","39.76","-1.28"
2,"64","38.89","-1.43"
2,"64","38.12","-1.56"
2,"64","37.43","-1.67"
2,"64","36.79","-1.78"
2,"64","36.2","-1.9"
2,"64","35.66","-2.02"
2,"64","35.16","-2.12"
2,"64","34.69","-2.2"
2,"64","34.24","-2.28"
2,"64","33.81","-2.35"
2,"64","33.37","-2.39"
2,"64","32.92","-2.43"
2,"64","32.47","-2.5"
2,"64","32","-2.5"
2,"64","31.52","-2.61"
2,"64","31.1","-2.75"
2,"64","30.73","-2.87"
2,"64","30.4","-2.96"
2,"64","30.09","-3.03"
2,"64","29.76","-3.01"
2,"64","29.35","-2.94"
2,"64","28.88","-3"
2,"64","28.45","-3.15"
2,"64","28.09","-3.32"
2,"64","27.8","-3.45"
2,"64","27.53","-3.54"
2,"64","27.26","-3.56"
2,"64","27","-3.65"
2,"64","26.73","-3.65"
2,"64","26.42","-3.62"
2,"64","26.06","-3.65"
2,"64","41.86","-.95"
2,"9","25.65","-3.53"
2,"9","19.54","-4.84"
2,"9","43.69","-1.27"
2,"9","42.93","-1.44"
2,"9","42.17","-1.6"
2,"9","41.41","-1.73"
2,"9","40.64","-1.85"
2,"9","39.88","-1.95"
2,"9","39.11","-2.04"
2,"9","38.35","-2.13"
2,"9","37.59","-2.21"
2,"9","36.83","-2.29"
2,"9","36.09","-2.35"
2,"9","35.35","-2.42"
2,"9","34.62","-2.48"
2,"9","33.91","-2.54"
2,"9","33.21","-2.6"
2,"9","32.53","-2.66"
2,"9","31.87","-2.73"
2,"9","31.23","-2.8"
2,"9","30.62","-2.87"
2,"9","30.03","-2.94"
2,"9","29.47","-3.01"
2,"9","28.93","-3.08"
2,"9","28.41","-3.15"
2,"9","27.91","-3.22"
2,"9","27.43","-3.29"
2,"9","26.96","-3.36"
2,"9","26.51","-3.43"
2,"9","26.07","-3.48"
3,"27","37.08","-1.32"
3,"27","18.99","-4.78"
