"HS_ID","ID","PF","WATER_CONTENT"
1,"27","1.034","82.82"
1,"27","1.062","82.53"
1,"27","1.077","82.24"
1,"27","1.095","81.92"
1,"27","1.1","81.58"
1,"27","1.074","81.18"
1,"27","1.091","80.71"
1,"27","1.134","80.2"
1,"27","1.144","79.64"
1,"27","1.153","79.02"
1,"27","1.164","78.39"
1,"27","1.176","77.74"
1,"27","1.187","77.07"
1,"27","1.194","76.51"
1,"27","1.209","76.05"
1,"27","1.221","75.6"
1,"27","1.231","75.14"
1,"27","1.242","74.67"
1,"27","1.252","74.15"
1,"27","1.263","73.54"
1,"27","1.272","72.89"
1,"27","1.281","72.2"
1,"27","1.292","71.47"
1,"27","1.302","70.7"
1,"27","1.313","69.9"
1,"27","1.325","69.23"
1,"27","1.334","68.67"
1,"27","1.344","68.11"
1,"27","1.354","67.54"
1,"27","1.364","66.98"
1,"27","1.373","66.4"
1,"27","1.384","65.81"
1,"27","1.393","65.23"
1,"27","1.403","64.66"
1,"27","1.412","64.09"
1,"27","1.423","63.52"
1,"27","1.433","62.93"
1,"27","1.443","62.36"
1,"27","1.453","61.78"
1,"27","1.464","61.19"
1,"27","1.474","60.6"
1,"27","1.486","60.02"
1,"27","1.498","59.43"
1,"27","1.509","58.85"
1,"27","1.523","58.22"
1,"27","1.538","57.47"
1,"27","1.555","56.6"
1,"27","1.574","55.65"
1,"27","1.598","54.58"
1,"27","1.625","53.49"
1,"27","1.651","52.53"
1,"27","1.675","51.68"
1,"27","1.702","50.76"
1,"27","1.733","49.68"
1,"27","1.77","48.5"
1,"27","1.813","47.29"
1,"27","1.857","46.11"
1,"27","1.903","44.99"
1,"27","1.949","43.9"
1,"27","1.999","42.76"
1,"27","2.054","41.6"
1,"27","2.109","40.59"
1,"27","2.162","39.7"
1,"27","2.217","38.87"
1,"27","2.274","38.01"
1,"27","2.34","37.04"
1,"27","2.412","36.04"
1,"27","2.489","35.04"
1,"27","2.566","34.03"
1,"27","2.636","33.08"
1,"27","2.696","32.21"
1,"27","2.747","31.37"
1,"27","2.793","30.54"
1,"27","2.84","29.72"
1,"27","2.882","28.91"
1,"27","2.921","28.12"
1,"27","2.957","27.35"
1,"27","3.732","14.95"
1,"27",".122","86.05"
1,"27",".194","85.92"
1,"27",".348","85.67"
1,"27",".477","85.4"
1,"27",".583","85.11"
1,"27",".666","84.81"
1,"27",".743","84.52"
1,"27",".818","84.22"
1,"27",".887","83.93"
1,"27",".941","83.65"
1,"27",".987","83.38"
1,"27","1.012","83.1"
1,"2W","1.901","46.75"
1,"2W","1.937","45.89"
1,"2W","1.974","45.03"
1,"2W","2.012","44.17"
1,"2W","2.051","43.32"
1,"2W","2.091","42.47"
1,"2W","2.133","41.64"
1,"2W","2.175","40.82"
1,"2W","2.218","40.02"
1,"2W","2.259","39.24"
1,"2W","2.299","38.5"
1,"2W","2.337","37.78"
1,"2W","2.374","37.1"
1,"2W","2.409","36.47"
1,"2W","2.442","35.88"
1,"2W","2.474","35.35"
1,"2W","2.502","34.88"
1,"2W","2.529","34.46"
1,"2W","2.557","34.07"
1,"2W","2.584","33.68"
1,"2W","2.609","33.31"
1,"2W","2.633","32.94"
1,"2W","2.655","32.58"
1,"2W","2.677","32.22"
1,"2W","2.698","31.88"
1,"2W","3.543","18.28"
1,"2W",".194","88.27"
1,"2W",".132","88.15"
1,"2W",".435","87.89"
1,"2W",".594","87.62"
1,"2W",".728","87.32"
1,"2W",".839","87"
1,"2W",".924","86.67"
1,"2W","1.002","86.31"
1,"2W","1.079","85.93"
1,"2W","1.078","85.54"
1,"2W","1.088","85.13"
1,"2W","1.151","84.72"
1,"2W","1.098","84.31"
1,"2W","1.07","83.88"
1,"2W","1.096","83.43"
1,"2W","1.112","82.97"
1,"2W","1.152","82.5"
