Num.,Date and Time,Temp. (°C),Rel. Humidity (%)
4610,2018-04-19 00:05:19,15.14,82.96
4611,2018-04-19 00:10:19,15.09,83.05
4612,2018-04-19 00:15:19,15.04,83.08
4613,2018-04-19 00:20:18,14.99,83.14
4614,2018-04-19 00:25:17,14.95,83.22
4615,2018-04-19 00:30:17,14.91,83.23
4616,2018-04-19 00:35:16,14.86,83.28
4617,2018-04-19 00:40:16,14.82,83.34
4618,2018-04-19 00:45:19,14.77,83.39
4619,2018-04-19 00:50:21,14.72,83.38
4620,2018-04-19 00:55:20,14.67,83.41
4621,2018-04-19 01:00:20,14.62,83.37
4622,2018-04-19 01:05:20,14.59,83.41
4623,2018-04-19 01:10:20,14.54,83.49
4624,2018-04-19 01:15:19,14.5,83.62
4625,2018-04-19 01:20:18,14.46,83.63
4626,2018-04-19 01:25:18,14.43,83.66
4627,2018-04-19 01:30:17,14.4,83.75
4628,2018-04-19 01:35:17,14.35,83.79
4629,2018-04-19 01:40:16,14.31,83.82
4630,2018-04-19 01:45:16,14.26,83.89
4631,2018-04-19 01:50:15,14.22,83.93
4632,2018-04-19 01:55:15,14.18,83.95
4633,2018-04-19 02:00:15,14.14,84.0
4634,2018-04-19 02:05:14,14.11,84.02
4635,2018-04-19 02:10:14,14.07,84.03
4636,2018-04-19 02:15:14,14.03,84.12
4637,2018-04-19 02:20:13,13.99,84.13
4638,2018-04-19 02:25:13,13.96,84.13
4639,2018-04-19 02:30:12,13.92,84.16
4640,2018-04-19 02:35:12,13.88,84.16
4641,2018-04-19 02:40:12,13.85,84.22
4642,2018-04-19 02:45:11,13.82,84.24
4643,2018-04-19 02:50:11,13.79,84.27
4644,2018-04-19 02:55:11,13.76,84.23
4645,2018-04-19 03:00:10,13.72,84.26
4646,2018-04-19 03:05:09,13.69,84.29
4647,2018-04-19 03:10:09,13.65,84.28
4648,2018-04-19 03:15:08,13.61,84.33
4649,2018-04-19 03:20:08,13.57,84.27
4650,2018-04-19 03:25:08,13.54,84.26
4651,2018-04-19 03:30:07,13.5,84.28
4652,2018-04-19 03:35:07,13.46,84.3
4653,2018-04-19 03:40:07,13.42,84.28
4654,2018-04-19 03:45:08,13.38,84.26
4655,2018-04-19 03:50:14,13.33,84.29
4656,2018-04-19 03:55:14,13.29,84.27
4657,2018-04-19 04:00:14,13.26,84.26
4658,2018-04-19 04:05:14,13.22,84.28
4659,2018-04-19 04:10:13,13.19,84.27
4660,2018-04-19 04:15:12,13.16,84.2
4661,2018-04-19 04:20:12,13.13,84.14
4662,2018-04-19 04:25:12,13.1,84.12
4663,2018-04-19 04:30:11,13.06,84.11
4664,2018-04-19 04:35:10,13.02,84.1
4665,2018-04-19 04:40:10,12.98,84.06
4666,2018-04-19 04:45:09,12.95,84.06
4667,2018-04-19 04:50:09,12.92,84.04
4668,2018-04-19 04:55:08,12.89,83.99
4669,2018-04-19 05:00:08,12.87,83.98
4670,2018-04-19 05:05:08,12.87,83.9
4671,2018-04-19 05:10:07,12.87,83.76
4672,2018-04-19 05:15:07,12.86,83.66
4673,2018-04-19 05:20:07,12.86,83.57
4674,2018-04-19 05:25:07,12.88,83.38
4675,2018-04-19 05:30:07,12.91,83.22
4676,2018-04-19 05:35:06,12.96,83.04
4677,2018-04-19 05:40:06,13.02,82.84
4678,2018-04-19 05:45:06,13.08,82.6
4679,2018-04-19 05:50:05,13.17,82.24
4680,2018-04-19 05:55:04,13.26,81.9
4681,2018-04-19 06:00:04,13.37,81.59
4682,2018-04-19 06:05:04,13.48,81.24
4683,2018-04-19 06:10:03,13.6,80.89
4684,2018-04-19 06:15:03,13.74,80.53
4685,2018-04-19 06:20:03,13.89,80.15
4686,2018-04-19 06:25:02,14.09,79.68
4687,2018-04-19 06:30:02,14.29,79.14
4688,2018-04-19 06:35:02,14.51,78.55
4689,2018-04-19 06:40:01,14.75,77.95
4690,2018-04-19 06:45:01,15.02,77.27
4691,2018-04-19 06:50:07,15.32,76.6
4692,2018-04-19 06:55:07,15.66,75.71
4693,2018-04-19 07:00:07,16.05,74.75
4694,2018-04-19 07:05:07,16.47,73.91
4695,2018-04-19 07:10:06,16.88,73.32
4696,2018-04-19 07:15:06,17.36,72.42
4697,2018-04-19 07:20:06,17.83,71.37
4698,2018-04-19 07:25:06,18.35,70.27
4699,2018-04-19 07:30:05,18.9,68.74
4700,2018-04-19 07:35:05,19.39,66.32
4701,2018-04-19 07:40:05,19.73,63.11
4702,2018-04-19 07:45:04,19.86,60.9
4703,2018-04-19 07:50:04,19.88,59.65
4704,2018-04-19 07:55:04,19.99,58.33
4705,2018-04-19 08:00:04,20.25,57.01
4706,2018-04-19 08:05:03,20.64,55.81
4707,2018-04-19 08:10:03,21.02,54.6
4708,2018-04-19 08:15:03,21.28,54.1
4709,2018-04-19 08:20:03,21.36,53.68
4710,2018-04-19 08:25:03,21.4,53.25
4711,2018-04-19 08:30:03,21.42,52.55
4712,2018-04-19 08:35:03,21.55,51.85
4713,2018-04-19 08:40:03,21.67,51.4
4714,2018-04-19 08:45:03,21.81,51.07
4715,2018-04-19 08:50:03,21.97,50.49
4716,2018-04-19 08:55:02,22.26,49.69
4717,2018-04-19 09:00:02,22.63,48.66
4718,2018-04-19 09:05:02,23.03,47.75
4719,2018-04-19 09:10:02,23.34,46.73
4720,2018-04-19 09:15:01,23.67,45.43
4721,2018-04-19 09:20:01,24.0,44.45
4722,2018-04-19 09:25:01,24.22,43.76
4723,2018-04-19 09:30:00,24.3,43.36
4724,2018-04-19 09:35:00,24.33,43.21
4725,2018-04-19 09:40:32,24.33,43.0
4726,2018-04-19 09:45:32,24.42,42.54
4727,2018-04-19 09:50:00,24.58,42.17
4728,2018-04-19 09:55:00,24.8,41.87
4729,2018-04-19 10:00:00,25.02,41.59
4730,2018-04-19 10:05:00,25.22,41.02
4731,2018-04-19 10:10:00,25.41,40.35
4732,2018-04-19 10:15:00,25.53,39.84
4733,2018-04-19 10:20:00,25.63,39.15
4734,2018-04-19 10:25:00,25.75,38.83
4735,2018-04-19 10:30:32,25.89,38.57
4736,2018-04-19 10:35:32,26.06,38.51
4737,2018-04-19 10:40:32,26.2,38.52
4738,2018-04-19 10:45:31,26.42,38.24
