Num.,Date and Time,Temp. (°C),Rel. Humidity (%)
4898,2018-04-20 00:05:19,16.89,88.13
4899,2018-04-20 00:10:19,16.85,88.18
4900,2018-04-20 00:15:19,16.81,88.21
4901,2018-04-20 00:20:18,16.76,88.31
4902,2018-04-20 00:25:17,16.71,88.38
4903,2018-04-20 00:30:17,16.65,88.4
4904,2018-04-20 00:35:16,16.6,88.41
4905,2018-04-20 00:40:16,16.55,88.43
4906,2018-04-20 00:45:19,16.5,88.4
4907,2018-04-20 00:50:21,16.44,88.43
4908,2018-04-20 00:55:20,16.39,88.4
4909,2018-04-20 01:00:20,16.34,88.36
4910,2018-04-20 01:05:20,16.29,88.31
4911,2018-04-20 01:10:20,16.24,88.26
4912,2018-04-20 01:15:19,16.18,88.29
4913,2018-04-20 01:20:18,16.12,88.3
4914,2018-04-20 01:25:18,16.08,88.23
4915,2018-04-20 01:30:17,16.04,88.19
4916,2018-04-20 01:35:17,15.99,88.24
4917,2018-04-20 01:40:16,15.94,88.21
4918,2018-04-20 01:45:16,15.9,88.2
4919,2018-04-20 01:50:15,15.85,88.18
4920,2018-04-20 01:55:15,15.81,88.14
4921,2018-04-20 02:00:15,15.78,88.13
4922,2018-04-20 02:05:14,15.75,88.12
4923,2018-04-20 02:10:14,15.71,88.09
4924,2018-04-20 02:15:14,15.66,88.09
4925,2018-04-20 02:20:13,15.62,88.08
4926,2018-04-20 02:25:13,15.59,88.05
4927,2018-04-20 02:30:12,15.55,88.07
4928,2018-04-20 02:35:12,15.51,88.04
4929,2018-04-20 02:40:12,15.48,87.99
4930,2018-04-20 02:45:11,15.44,87.96
4931,2018-04-20 02:50:11,15.4,87.92
4932,2018-04-20 02:55:11,15.37,87.8
4933,2018-04-20 03:00:10,15.32,87.73
4934,2018-04-20 03:05:09,15.27,87.65
4935,2018-04-20 03:10:09,15.21,87.55
4936,2018-04-20 03:15:08,15.16,87.43
4937,2018-04-20 03:20:08,15.11,87.33
4938,2018-04-20 03:25:08,15.06,87.22
4939,2018-04-20 03:30:07,15.0,87.18
4940,2018-04-20 03:35:07,14.95,87.06
4941,2018-04-20 03:40:07,14.91,86.95
4942,2018-04-20 03:45:08,14.87,86.91
4943,2018-04-20 03:50:14,14.83,86.9
4944,2018-04-20 03:55:14,14.79,86.81
4945,2018-04-20 04:00:14,14.76,86.71
4946,2018-04-20 04:05:14,14.73,86.66
4947,2018-04-20 04:10:13,14.68,86.67
4948,2018-04-20 04:15:12,14.64,86.63
4949,2018-04-20 04:20:12,14.59,86.56
4950,2018-04-20 04:25:12,14.55,86.47
4951,2018-04-20 04:30:11,14.51,86.38
4952,2018-04-20 04:35:10,14.46,86.25
4953,2018-04-20 04:40:10,14.43,86.18
4954,2018-04-20 04:45:09,14.39,86.12
4955,2018-04-20 04:50:09,14.35,86.07
4956,2018-04-20 04:55:08,14.34,86.02
4957,2018-04-20 05:00:08,14.32,85.99
4958,2018-04-20 05:05:08,14.32,85.99
4959,2018-04-20 05:10:07,14.52,85.92
4960,2018-04-20 05:15:07,14.59,85.91
4961,2018-04-20 05:20:07,14.59,85.91
4964,2018-04-20 05:35:06,15.11,82.08
4965,2018-04-20 05:40:06,15.11,82.08
4966,2018-04-20 05:45:06,16.52,74.29
4967,2018-04-20 05:50:05,16.52,74.29
4968,2018-04-20 05:55:04,18.44,64.73
4969,2018-04-20 06:00:04,18.44,64.73
4971,2018-04-20 06:10:03,19.87,63.35
4972,2018-04-20 06:15:03,19.87,63.35
4973,2018-04-20 06:20:03,19.71,66.23
4974,2018-04-20 06:25:02,19.4,67.06
4975,2018-04-20 06:30:02,18.99,67.11
4976,2018-04-20 06:35:02,18.99,67.11
4978,2018-04-20 06:45:01,19.34,65.75
4979,2018-04-20 06:50:07,19.41,65.57
4980,2018-04-20 06:55:07,19.52,66.54
4981,2018-04-20 07:00:07,19.69,65.47
4982,2018-04-20 07:05:07,19.88,64.87
4983,2018-04-20 07:10:06,19.98,64.72
4984,2018-04-20 07:15:06,20.03,64.65
4985,2018-04-20 07:20:06,20.16,63.9
4986,2018-04-20 07:25:06,20.43,62.67
4987,2018-04-20 07:30:05,20.74,62.05
4988,2018-04-20 07:35:05,20.86,62.12
4989,2018-04-20 07:40:05,20.8,62.3
4990,2018-04-20 07:45:04,20.74,61.82
4991,2018-04-20 07:50:04,20.74,60.77
4992,2018-04-20 07:55:04,20.8,60.26
4993,2018-04-20 08:00:04,20.8,60.33
4994,2018-04-20 08:05:03,20.82,60.06
4995,2018-04-20 08:10:03,20.98,59.44
4996,2018-04-20 08:15:03,21.31,58.19
4997,2018-04-20 08:20:03,21.66,57.29
4998,2018-04-20 08:25:03,22.0,56.65
4999,2018-04-20 08:30:03,22.28,55.48
5000,2018-04-20 08:35:03,22.55,54.29
5001,2018-04-20 08:40:03,22.78,53.01
5002,2018-04-20 08:45:03,23.04,52.19
5003,2018-04-20 08:50:03,23.35,51.61
5004,2018-04-20 08:55:02,23.82,50.69
5005,2018-04-20 09:00:02,24.17,50.05
5006,2018-04-20 09:05:02,24.36,49.76
5007,2018-04-20 09:10:02,24.4,49.0
5008,2018-04-20 09:15:01,24.56,48.0
5009,2018-04-20 09:20:01,24.74,47.14
5010,2018-04-20 09:25:01,24.92,46.62
5011,2018-04-20 09:30:00,25.12,46.01
5012,2018-04-20 09:35:00,25.26,45.73
5013,2018-04-20 09:40:32,25.46,45.52
5014,2018-04-20 09:45:32,25.62,44.63
5015,2018-04-20 09:50:00,25.81,43.91
5016,2018-04-20 09:55:00,25.87,44.29
5017,2018-04-20 10:00:00,25.98,43.75
5018,2018-04-20 10:05:00,26.21,42.63
5019,2018-04-20 10:10:00,26.45,41.83
5020,2018-04-20 10:15:00,26.63,41.49
5021,2018-04-20 10:20:00,26.76,41.28
5022,2018-04-20 10:25:00,26.95,40.65
5023,2018-04-20 10:30:32,27.07,40.62
5024,2018-04-20 10:35:32,27.2,40.87
5025,2018-04-20 10:40:32,27.32,40.04
5026,2018-04-20 10:45:31,27.51,39.09
5027,2018-04-20 10:50:42,27.72,37.86
5028,2018-04-20 10:55:29,27.98,36.86
